(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*
(коллекционная куколка в бутылочке -> коллекйилнная кукрдка в буиылочкн) | yaSucced: коллекционная куколка в бутылочке | spellerFail: коллекционная куколка в бутылочка
(коллекционная куколка в сундучке с сокровищами серии -> колоееционная кукооеа в суедучкк с соеррвищами сермт) | yaSucced: коллекционная куколка в сундучке с сокровищами серии | spellerFail: коллекционная куколка в сундучок с сокровищами серии
(мраморная крошка фр мм кг -> мпвморная ерошкп фр мм кг) | yaSucced: мраморная крошка фр мм кг | spellerFail: мраморная ерошка фр мм кг
(привет -> приаеь) | yaSucced: привет | spellerFail: прицел
(простой -> прлстоц) | yaSucced: простой | spellerFail: просто
(полоски для лица -> роллски доя лийа) | yaSucced: полоски для лица | spellerFail: полоски доя лица
(полоски для лица -> поллскм длч дица) | yaSucced: полоски для лица | spellerFail: полоски для дица
(мыло воск для бровей -> мыоо ыоск доя бооаей) | yaSucced: мыло воск для бровей | spellerFail: мыло воск доя бровей
(мыло воск для бровей -> мылл влск доя броыец) | yaSucced: мыло воск для бровей | spellerFail: мыло воск доя бровей
(мягкая игрушка персонажа высота -> иягкаф мгоушка персргажа ывсота) | yaSucced: мягкая игрушка персонажа высота | spellerFail: мягка игрушка персонажа высота
(футляре -> фктлярк) | yaSucced: футляре | spellerFail: футляр
(футляре -> йутлярк) | yaSucced: футляре | spellerFail: футляр
(тени тени красные -> тент тнни крпснфе) | yaSucced: тени тени красные | spellerFail: тент тени красные
(проверка -> провкркв) | yaSucced: проверка | spellerFail: проверки
(проверка -> поовеока) | yaSucced: проверка | spellerFail: подвеска
(кисть для окрашивания бровей -> ктстт доя окрашиавния бровнф) | yaSucced: кисть для окрашивания бровей | spellerFail: кисть доя окрашивания бровей
(кисть для окрашивания бровей -> ктстт доя окрашмыания бровнц) | yaSucced: кисть для окрашивания бровей | spellerFail: кисть доя окрашивания бровей
(монами сух д кошек мясное ассорти кг -> млнаии чух д кошке мячнре псчорти кг) | yaSucced: монами сух д кошек мясное ассорти кг | spellerFail: молнии чух д кошке мясное ассорти кг
(вака люкс корм д средних попугаев г -> ыака люус корс д мредниъ поаугпев г) | yaSucced: вака люкс корм д средних попугаев г | spellerFail: вака люкс корс д средних попугаев г
(вака люкс корм д средних попугаев г -> вакп лбкс корс д сркднтх поаугвев г) | yaSucced: вака люкс корм д средних попугаев г | spellerFail: вака люкс корс д средних попугаев г
(зоомир корм для канареек кенар кг -> щоомтр клрм длч кпеареек кееао кг) | yaSucced: зоомир корм для канареек кенар кг | spellerFail: зоомир корм для канареек какао кг
(зоомир корм для средних попугаев сильвер кг -> зормио корс лля среднтъ прругаев смльвеп кг) | yaSucced: зоомир корм для средних попугаев сильвер кг | spellerFail: зоомир корс для средняя попугаев сильвер кг
(зоомир корм для средних попугаев сильвер кг -> хооиир корс длч соеднтх аопушаев силтвеп кг) | yaSucced: зоомир корм для средних попугаев сильвер кг | spellerFail: зоомир корс для средних попугаев сильвер кг
(зоомир корм для волнистых попугаев робинзон кг -> зооиип корс лля волнимиых ропугаеы робинхое кг) | yaSucced: зоомир корм для волнистых попугаев робинзон кг | spellerFail: зооник корс для волнистых попугаев робинзон кг
(зоомир веселый попугай корм д крупных попугаев гр -> щормир аеселыф плругай клрм д крцаных ропкгаев гр) | yaSucced: зоомир веселый попугай корм д крупных попугаев гр | spellerFail: формир веселый попугай корм д крупных попугаев гр
(зоомир корм для тропических рыб коробка кг -> щромир корс длч тропичнскмх рвб елробка кг) | yaSucced: зоомир корм для тропических рыб коробка кг | spellerFail: яромир корс для тропических рвб коробка кг
(корм д р зоомир флэк тропический гр коробка -> копм д р золмип фоэк тпопичесуий гр короюкв) | yaSucced: корм д р зоомир флэк тропический гр коробка | spellerFail: корм д р зоомир фок тропический гр коробка
(корм д р зоомир флэк тропический гр коробка -> коом д р зросир флжк тропмчесуий гр улробка) | yaSucced: корм д р зоомир флэк тропический гр коробка | spellerFail: корм д р зоомир флак тропический гр коробка
(корм д р зоомир флэк тропический гр коробка -> копм д р зорсир фдэк тропичечкиц гр ерробка) | yaSucced: корм д р зоомир флэк тропический гр коробка | spellerFail: корм д р зоомир блэк тропический гр коробка
(корм д р зоомир хлопья полноценный корм для всех видов рыб г п э пакет -> коом д р зооитр хлортя полноцннныф кррм лля ысех вмдрв оыб г п э рпкет) | yaSucced: корм д р зоомир хлопья полноценный корм для всех видов рыб г п э пакет | spellerFail: корм д р зоомир хлопья полноценный корм для всех видов рыб г п э рокет
(зоомир дафния для рыб рептилий земноводных птиц пластиковый контейнер л кг -> щоомтр даынтя ддя рвб реаттлий земноаодеых птмц аластиеовый конткйнеп л кг) | yaSucced: зоомир дафния для рыб рептилий земноводных птиц пластиковый контейнер л кг | spellerFail: зоомир дафния для рвб рептилий земноводных птиц пластиковый контейнер л кг
